id,name,code,user_type_id/id,chart_template_id/id,tag_ids/id,reconcile
pcg_754,Venituri din creanțe reactivate și debitori diverși,754,account.data_account_type_revenue,l10n_ro.ro_chart_template,,False
pcg_755,Venituri din reevaluarea imobilizărilor corporale,755,account.data_account_type_revenue,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_revenues_nc_assets_revaluation,False
pcg_7581,"Venituri din despăgubiri, amenzi și penalități",7581,account.data_account_type_revenue,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_other_operating_revenues,False
pcg_7582,Venituri din donații primite,7582,account.data_account_type_revenue,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_other_operating_revenues,False
pcg_7583,Venituri din vânzarea activelor și alte operațiuni de capital,7583,account.data_account_type_revenue,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_other_operating_revenues,False
pcg_7584,Venituri din subvenții pentru investiții,7584,account.data_account_type_revenue,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_other_operating_revenues,False
pcg_7586,Venituri reprezentând transferuri cuvenite în baza unor acte normative speciale,7586,account.data_account_type_revenue,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_other_operating_revenues,False
pcg_7588,Alte venituri din exploatare,7588,account.data_account_type_revenue,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_other_operating_revenues,False
pcg_7611,Venituri din acțiuni deținute la entitățile afiliate,7611,account.data_account_type_revenue,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_income_shares_subsidiaries,False
pcg_7612,Venituri din acțiuni deținute la entități asociate,7612,account.data_account_type_revenue,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_income_shares_associated_entities,False
pcg_7613,Venituri din acțiuni deținute la entități controlate în comun,7613,account.data_account_type_revenue,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_income_shares_controlled_entities,False
pcg_7615,Venituri din alte imobilizări financiare,7615,account.data_account_type_revenue,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_other_incomes,False
pcg_762,Venituri din investiții financiare pe termen scurt,762,account.data_account_type_revenue,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_income_securities_oper_other_fin_assets,False
pcg_7641,Venituri din imobilizări financiare cedate,7641,account.data_account_type_revenue,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_other_incomes,False
pcg_7642,Câștiguri din investiții pe termen scurt cedate,7642,account.data_account_type_revenue,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_other_incomes,False
pcg_7651,Diferențe favorabile de curs valutar legate de elementele monetare exprimate în valută,7651,account.data_account_type_revenue,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_income_exchange_rate,False
pcg_7652,Diferențe favorabile de curs valutar din evaluarea elementelor monetare care fac parte din investiția netă într-o entitate străină,7652,account.data_account_type_revenue,l10n_ro.ro_chart_template,l10n_ro.account_tag_pnl_income_exchange_rate,False
